16.167: [GC16.168: [DefNew: 17472K->2175K(19648K), 0.5327030 secs] 17472K->3067K(63360K), 0.5416960 secs] [Times: user=0.01 sys=0.01, real=0.54 secs] 
751.292: [GC751.302: [DefNew: 19647K->1683K(19648K), 0.0115300 secs] 20539K->4310K(63360K), 0.0250960 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
811.089: [GC811.103: [DefNew: 19152K->2175K(19648K), 0.0115460 secs] 21780K->5960K(63360K), 0.0254320 secs] [Times: user=0.01 sys=0.01, real=0.02 secs] 
815.811: [GC815.811: [DefNew: 19647K->180K(19648K), 0.0034930 secs] 23432K->5157K(63360K), 0.0037090 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1526.474: [GC1526.487: [DefNew: 17652K->2175K(19648K), 0.0085440 secs] 22629K->7646K(63360K), 0.0222250 secs] [Times: user=0.01 sys=0.00, real=0.03 secs] 
2276.561: [GC2276.580: [DefNew: 19647K->2176K(19648K), 0.0036010 secs] 25118K->8383K(63360K), 0.0230810 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
5371.532: [GC5371.575: [DefNew: 19648K->2175K(19648K), 0.0057300 secs] 25855K->8925K(63360K), 0.0486880 secs] [Times: user=0.01 sys=0.00, real=0.05 secs] 
6123.239: [GC6123.248: [DefNew: 19647K->2176K(19648K), 0.0045690 secs] 26397K->9517K(63360K), 0.0138400 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
6886.256: [GC6886.271: [DefNew: 19635K->2175K(19648K), 0.0112180 secs] 26976K->9990K(63360K), 0.0259020 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
7631.390: [GC7631.399: [DefNew: 19647K->2176K(19648K), 0.0085230 secs] 27462K->10499K(63360K), 0.0180710 secs] [Times: user=0.00 sys=0.01, real=0.02 secs] 
8421.629: [GC8421.644: [DefNew: 19648K->2176K(19648K), 0.0069860 secs] 27971K->11161K(63360K), 0.0223480 secs] [Times: user=0.00 sys=0.00, real=0.03 secs] 
